Index,Title,Release Year,Director,Description,Rating
34,Inglourious Basterds,2009,Quentin Tarantino,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as The Basterds are chosen specifically to spread fear throughout the Third Reich by scalping and brutally…",4.34
35,Donnie Darko,2001,Richard Kelly,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",3.97
36,Spider Man Across The Spider Verse,2023,"Joaquim Dos Santos, Justin K. Thompson et al","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged…",4.45
37,Little Miss Sunshine,2006,"Jonathan Dayton, Valerie Faris","A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.",4.17
38,The Truman Show,1998,Peter Weir,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for…",4.21
39,Dune Part Two,2024,Denis Villeneuve,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his…,4.46
40,Portrait Of A Lady On Fire,2019,Céline Sciamma,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",4.43
41,The Empire Strikes Back,1980,Irvin Kershner,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture…",4.41
42,Se7En,1995,David Fincher,Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of…,4.33
43,Forrest Gump,1994,Robert Zemeckis,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has…",4.13
44,Mamma Mia,2008,Phyllida Lloyd,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her…",3.77
45,The Shining,1980,Stanley Kubrick,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't…",4.24
46,Amelie,2001,Jean-Pierre Jeunet,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and…",4.17
47,The Lord Of The Rings The Fellowship Of The Ring,2001,Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a…",4.37
48,The Batman,2022,Matt Reeves,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",3.98
49,2001 A Space Odyssey,1968,Stanley Kubrick,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",4.3
50,Blade Runner 2049,2017,Denis Villeneuve,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery…",4.12
51,Taxi Driver,1976,Martin Scorsese,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,4.17
52,Star Wars Episode Iii Revenge Of The Sith,2005,George Lucas,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,3.83
53,Kill Bill Vol 1,2003,Quentin Tarantino,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",4.19
54,La Haine,1995,Mathieu Kassovitz,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who…",4.51
55,Arrival 2016,2016,Denis Villeneuve,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",4.12
56,Blade Runner,1982,Ridley Scott,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way…",4.1
57,About Time,2013,Richard Curtis,"The night after another unsatisfactory New Year party, Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can…",4.01
58,Midsommar,2019,Ari Aster,Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where…,3.78
59,Princess Mononoke,1997,Hayao Miyazaki,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to…",4.37
60,Gone Girl,2014,David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",4.07
61,The Silence Of The Lambs,1991,Jonathan Demme,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life…",4.33
62,The Thing,1982,John Carpenter,"In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at a sled dog. When they take in the dog, it brutally attacks both human beings…",4.35
63,Django Unchained,2012,Quentin Tarantino,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",4.28
64,In The Mood For Love,2000,Wong Kar-wai,"Taking place in Hong Kong of 1962, a melancholy story about the love between a woman and a man who live in the same building and one day find out that their husband and wife had an affair with each other.",4.4
65,Jurassic Park,1993,Steven Spielberg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to…",4.11
66,Shutter Island,2010,Martin Scorsese,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions…",4.12
67,Her,2013,Spike Jonze,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops…",4.02
68,Mulholland Drive,2001,David Lynch,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity,…",4.24
69,Trainspotting,1996,Danny Boyle,"Mark Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",4.2
70,12 Angry Men,1957,Sidney Lumet,The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and…,4.62
71,Oldboy,2003,Park Chan-wook,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",4.39
72,The Matrix,1999,"Lilly Wachowski, Lana Wachowski","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",4.16
73,City Of God,2002,Fernando Meirelles,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",4.53
74,Hereditary,2018,Ari Aster,"When Ellen, the matriarch of the Graham family, passes away, her daughter’s family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",3.97
75,American Psycho,2000,Mary Harron,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",3.86
76,Perfect Blue,1997,Satoshi Kon,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,4.4
77,Ratatouille,2007,Brad Bird,A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers…,4.21
78,Mad Max Fury Road,2015,George Miller,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this…",4.19
79,Alien,1979,Ridley Scott,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs…",4.27
80,Oppenheimer 2023,2023,Christopher Nolan,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,4.23
81,Girl Interrupted,1999,James Mangold,"Set in the changing world of the late 1960s, Susanna Kaysen's prescribed short rest from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she…",3.9
82,The Handmaiden,2016,Park Chan-wook,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",4.41
83,The Virgin Suicides,1999,Sofia Coppola,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",3.83
84,The Social Network,2010,David Fincher,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming,…",3.95
85,Knives Out 2019,2019,Rian Johnson,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.…",3.99
